date	close
1-Sep-02	22
2-Sep-02	18
3-Sep-02	9
4-Sep-02	21
5-Sep-02	11
6-Sep-02	74
7-Sep-02	11
8-Sep-02	4
9-Sep-02	42
10-Sep-02	43
11-Sep-02	23
12-Sep-02	21
13-Sep-02	51
14-Sep-02	7
15-Sep-02	16
16-Sep-02	39
17-Sep-02	13
18-Sep-02	45
19-Sep-02	58
20-Sep-02	47
21-Sep-02	10
22-Sep-02	14
23-Sep-02	58
24-Sep-02	17
25-Sep-02	13
26-Sep-02	7
27-Sep-02	42
28-Sep-02	11
29-Sep-02	3
30-Sep-02	12
1-Oct-02	31
2-Oct-02	19
3-Oct-02	26
4-Oct-02	16
5-Oct-02	2
6-Oct-02	7
7-Oct-02	20
8-Oct-02	54
9-Oct-02	56
10-Oct-02	21
11-Oct-02	3
12-Oct-02	4
13-Oct-02	16
14-Oct-02	11
15-Oct-02	10
16-Oct-02	10
17-Oct-02	18
18-Oct-02	36
19-Oct-02	4
20-Oct-02	1
21-Oct-02	15
22-Oct-02	21
23-Oct-02	20
24-Oct-02	34
25-Oct-02	35
26-Oct-02	21
27-Oct-02	12
28-Oct-02	30
29-Oct-02	31
30-Oct-02	21
31-Oct-02	44
1-Nov-02	9
2-Nov-02	19
3-Nov-02	6
4-Nov-02	53
5-Nov-02	56
6-Nov-02	31
7-Nov-02	18
8-Nov-02	37
9-Nov-02	18
10-Nov-02	12
11-Nov-02	15
12-Nov-02	23
13-Nov-02	46
14-Nov-02	74
15-Nov-02	58
16-Nov-02	45
17-Nov-02	16
18-Nov-02	42
19-Nov-02	34
20-Nov-02	41
21-Nov-02	33
22-Nov-02	7
23-Nov-02	3
24-Nov-02	28
25-Nov-02	71
26-Nov-02	42
27-Nov-02	39
28-Nov-02	43
30-Nov-02	5
1-Dec-02	19
2-Dec-02	42
3-Dec-02	26
4-Dec-02	23
5-Dec-02	10
6-Dec-02	18
7-Dec-02	27
8-Dec-02	18
9-Dec-02	8
10-Dec-02	19
11-Dec-02	24
12-Dec-02	27
13-Dec-02	23
14-Dec-02	14
15-Dec-02	18
16-Dec-02	19
17-Dec-02	29
18-Dec-02	34
19-Dec-02	41
20-Dec-02	22
21-Dec-02	6
22-Dec-02	6
23-Dec-02	2
24-Dec-02	6
26-Dec-02	9
27-Dec-02	6
28-Dec-02	7
29-Dec-02	4
30-Dec-02	12
31-Dec-02	9
1-Jan-03	24
2-Jan-03	18
3-Jan-03	8
4-Jan-03	9
5-Jan-03	19
6-Jan-03	37
7-Jan-03	20
8-Jan-03	27
9-Jan-03	11
10-Jan-03	39
11-Jan-03	7
12-Jan-03	21
13-Jan-03	38
14-Jan-03	27
15-Jan-03	31
16-Jan-03	28
17-Jan-03	14
18-Jan-03	5
19-Jan-03	5
20-Jan-03	30
21-Jan-03	9
22-Jan-03	19
23-Jan-03	21
24-Jan-03	11
25-Jan-03	3
26-Jan-03	9
27-Jan-03	18
28-Jan-03	20
29-Jan-03	17
30-Jan-03	23
31-Jan-03	36
1-Feb-03	12
2-Feb-03	19
3-Feb-03	25
4-Feb-03	61
5-Feb-03	55
6-Feb-03	10
7-Feb-03	21
8-Feb-03	14
10-Feb-03	18
11-Feb-03	22
12-Feb-03	52
13-Feb-03	14
14-Feb-03	16
15-Feb-03	4
16-Feb-03	9
17-Feb-03	9
18-Feb-03	38
19-Feb-03	35
20-Feb-03	27
21-Feb-03	19
22-Feb-03	5
23-Feb-03	6
24-Feb-03	11
25-Feb-03	5
26-Feb-03	1
27-Feb-03	13
28-Feb-03	25
1-Mar-03	10
2-Mar-03	8
3-Mar-03	26
4-Mar-03	7
5-Mar-03	22
6-Mar-03	10
7-Mar-03	10
8-Mar-03	4
9-Mar-03	11
10-Mar-03	21
11-Mar-03	8
12-Mar-03	16
13-Mar-03	21
14-Mar-03	10
15-Mar-03	3
16-Mar-03	7
17-Mar-03	11
18-Mar-03	2
19-Mar-03	5
20-Mar-03	8
21-Mar-03	25
22-Mar-03	8
23-Mar-03	7
24-Mar-03	36
25-Mar-03	21
26-Mar-03	7
27-Mar-03	18
28-Mar-03	22
29-Mar-03	4
30-Mar-03	11
31-Mar-03	22
1-Apr-03	18
2-Apr-03	26
3-Apr-03	26
4-Apr-03	13
5-Apr-03	19
6-Apr-03	8
7-Apr-03	12
8-Apr-03	21
9-Apr-03	17
10-Apr-03	9
11-Apr-03	13
12-Apr-03	1
13-Apr-03	13
14-Apr-03	16
15-Apr-03	22
16-Apr-03	40
17-Apr-03	15
18-Apr-03	5
19-Apr-03	13
20-Apr-03	19
21-Apr-03	21
22-Apr-03	13
23-Apr-03	17
24-Apr-03	10
25-Apr-03	37
26-Apr-03	27
27-Apr-03	6
28-Apr-03	17
29-Apr-03	12
30-Apr-03	14
1-May-03	11
2-May-03	13
3-May-03	7
4-May-03	28
5-May-03	28
6-May-03	32
7-May-03	10
8-May-03	12
9-May-03	13
10-May-03	2
11-May-03	1
12-May-03	2
13-May-03	10
14-May-03	7
15-May-03	4
16-May-03	13
17-May-03	7
18-May-03	2
19-May-03	14
20-May-03	42
21-May-03	19
22-May-03	13
23-May-03	13
24-May-03	16
25-May-03	19
26-May-03	26
27-May-03	15
28-May-03	45
29-May-03	12
30-May-03	21
31-May-03	15
1-Jun-03	6
2-Jun-03	35
3-Jun-03	49
4-Jun-03	44
5-Jun-03	17
6-Jun-03	60
7-Jun-03	7
8-Jun-03	6
9-Jun-03	8
10-Jun-03	22
11-Jun-03	6
12-Jun-03	21
13-Jun-03	12
14-Jun-03	7
15-Jun-03	14
16-Jun-03	7
17-Jun-03	11
18-Jun-03	31
19-Jun-03	24
20-Jun-03	14
21-Jun-03	2
22-Jun-03	6
23-Jun-03	16
24-Jun-03	25
25-Jun-03	50
26-Jun-03	19
27-Jun-03	13
28-Jun-03	2
29-Jun-03	2
30-Jun-03	13
1-Jul-03	18
2-Jul-03	13
3-Jul-03	12
4-Jul-03	4
5-Jul-03	4
6-Jul-03	20
7-Jul-03	26
8-Jul-03	7
9-Jul-03	12
10-Jul-03	7
11-Jul-03	10
12-Jul-03	9
13-Jul-03	3
14-Jul-03	4
15-Jul-03	9
16-Jul-03	6
17-Jul-03	12
18-Jul-03	7
19-Jul-03	1
23-Jul-03	10
24-Jul-03	21
25-Jul-03	7
26-Jul-03	1
27-Jul-03	5
28-Jul-03	21
29-Jul-03	7
30-Jul-03	10
31-Jul-03	2
1-Aug-03	2
4-Aug-03	2
5-Aug-03	4
6-Aug-03	6
7-Aug-03	1
8-Aug-03	20
9-Aug-03	2
10-Aug-03	3
11-Aug-03	5
12-Aug-03	14
13-Aug-03	13
14-Aug-03	26
15-Aug-03	12
16-Aug-03	5
17-Aug-03	4
18-Aug-03	7
19-Aug-03	11
20-Aug-03	12
21-Aug-03	27
22-Aug-03	50
23-Aug-03	12
24-Aug-03	18
25-Aug-03	20
26-Aug-03	20
27-Aug-03	33
28-Aug-03	38
29-Aug-03	41
30-Aug-03	16
31-Aug-03	11
1-Sep-03	32
2-Sep-03	58
3-Sep-03	43
4-Sep-03	26
5-Sep-03	21
6-Sep-03	10
7-Sep-03	13
8-Sep-03	43
9-Sep-03	50
10-Sep-03	25
11-Sep-03	42
12-Sep-03	16
13-Sep-03	16
14-Sep-03	39
15-Sep-03	16
16-Sep-03	19
17-Sep-03	43
18-Sep-03	54
19-Sep-03	60
20-Sep-03	19
21-Sep-03	13
22-Sep-03	25
23-Sep-03	5
24-Sep-03	26
25-Sep-03	13
26-Sep-03	17
27-Sep-03	12
28-Sep-03	28
29-Sep-03	31
30-Sep-03	14
1-Oct-03	28
2-Oct-03	30
3-Oct-03	12
4-Oct-03	7
5-Oct-03	15
6-Oct-03	6
7-Oct-03	3
8-Oct-03	20
9-Oct-03	12
10-Oct-03	4
11-Oct-03	6
12-Oct-03	9
13-Oct-03	7
14-Oct-03	17
15-Oct-03	13
16-Oct-03	3
17-Oct-03	8
18-Oct-03	8
19-Oct-03	12
20-Oct-03	13
21-Oct-03	15
22-Oct-03	9
23-Oct-03	15
24-Oct-03	8
25-Oct-03	7
26-Oct-03	15
27-Oct-03	33
28-Oct-03	15
29-Oct-03	17
30-Oct-03	25
31-Oct-03	14
1-Nov-03	15
2-Nov-03	22
3-Nov-03	24
4-Nov-03	24
5-Nov-03	6
6-Nov-03	9
7-Nov-03	8
8-Nov-03	8
9-Nov-03	6
10-Nov-03	22
11-Nov-03	10
12-Nov-03	17
13-Nov-03	14
14-Nov-03	14
15-Nov-03	14
16-Nov-03	9
17-Nov-03	23
18-Nov-03	49
19-Nov-03	46
20-Nov-03	17
21-Nov-03	11
22-Nov-03	11
23-Nov-03	24
24-Nov-03	20
25-Nov-03	29
26-Nov-03	50
27-Nov-03	31
28-Nov-03	17
30-Nov-03	11
1-Dec-03	13
2-Dec-03	11
3-Dec-03	8
4-Dec-03	19
5-Dec-03	8
6-Dec-03	6
7-Dec-03	3
8-Dec-03	6
9-Dec-03	20
10-Dec-03	22
11-Dec-03	36
13-Dec-03	5
14-Dec-03	6
15-Dec-03	2
16-Dec-03	11
17-Dec-03	6
18-Dec-03	7
19-Dec-03	9
20-Dec-03	17
21-Dec-03	9
22-Dec-03	10
23-Dec-03	24
24-Dec-03	4
25-Dec-03	2
26-Dec-03	6
27-Dec-03	2
28-Dec-03	7
29-Dec-03	19
30-Dec-03	8
31-Dec-03	6
1-Jan-04	5
2-Jan-04	23
3-Jan-04	23
4-Jan-04	22
5-Jan-04	27
6-Jan-04	11
7-Jan-04	17
8-Jan-04	26
9-Jan-04	14
10-Jan-04	21
11-Jan-04	10
12-Jan-04	28
13-Jan-04	20
14-Jan-04	51
15-Jan-04	42
16-Jan-04	35
17-Jan-04	11
18-Jan-04	17
19-Jan-04	32
20-Jan-04	30
21-Jan-04	29
22-Jan-04	11
23-Jan-04	57
24-Jan-04	13
25-Jan-04	12
26-Jan-04	46
27-Jan-04	13
28-Jan-04	12
29-Jan-04	24
30-Jan-04	33
31-Jan-04	4
1-Feb-04	8
2-Feb-04	18
3-Feb-04	22
4-Feb-04	8
5-Feb-04	6
6-Feb-04	7
7-Feb-04	6
8-Feb-04	8
9-Feb-04	13
10-Feb-04	27
11-Feb-04	23
12-Feb-04	12
13-Feb-04	26
14-Feb-04	12
15-Feb-04	6
16-Feb-04	14
17-Feb-04	11
18-Feb-04	17
19-Feb-04	7
20-Feb-04	4
21-Feb-04	2
22-Feb-04	27
23-Feb-04	23
24-Feb-04	14
25-Feb-04	21
26-Feb-04	20
27-Feb-04	4
28-Feb-04	6
29-Feb-04	6
1-Mar-04	1
2-Mar-04	18
3-Mar-04	8
4-Mar-04	22
5-Mar-04	14
6-Mar-04	4
7-Mar-04	5
8-Mar-04	9
9-Mar-04	7
10-Mar-04	8
11-Mar-04	6
12-Mar-04	14
13-Mar-04	4
14-Mar-04	4
15-Mar-04	13
16-Mar-04	17
17-Mar-04	35
18-Mar-04	36
19-Mar-04	13
20-Mar-04	17
21-Mar-04	5
22-Mar-04	6
23-Mar-04	4
24-Mar-04	18
25-Mar-04	12
26-Mar-04	8
27-Mar-04	1
29-Mar-04	13
30-Mar-04	4
31-Mar-04	10
1-Apr-04	10
2-Apr-04	15
3-Apr-04	1
4-Apr-04	5
5-Apr-04	13
6-Apr-04	50
7-Apr-04	23
8-Apr-04	25
9-Apr-04	30
10-Apr-04	1
11-Apr-04	19
12-Apr-04	1
13-Apr-04	11
14-Apr-04	7
15-Apr-04	4
16-Apr-04	22
17-Apr-04	3
18-Apr-04	12
19-Apr-04	17
20-Apr-04	34
21-Apr-04	29
22-Apr-04	7
23-Apr-04	30
24-Apr-04	5
25-Apr-04	8
26-Apr-04	11
27-Apr-04	20
